NOC,Event,TotalMedals,GoldMedals,rank
AFG,Taekwondo Men's Flyweight,1,0,1
AFG,Taekwondo Men's Featherweight,1,0,2
AIN,Women's Doubles,2,0,1
AIN,Women,1,0,2
AIN,Men's Single Sculls,1,0,3
AIN,Men's 102kg,1,0,4
AIN,Men,1,1,5
ALB,Men's Freestyle 74kg,1,0,1
ALB,Men's Freestyle 65kg,1,0,2
ALG,"Athletics Men's 1,500 metres",2,1,1
ALG,Judo Men's Middleweight,1,0,2
ALG,Judo Women's Half-Lightweight,1,0,3
ALG,Athletics Men's 800 metres,1,0,4
ALG,Women's Uneven Bars,1,1,5
ARG,Hockey Women's Hockey,31,0,1
ARG,Men Team,25,0,2
ARG,Hockey Men's Hockey,18,18,3
ARG,Football Men's Football,18,18,4
ARG,Women Team,18,0,5
ARM,"Wrestling Men's Heavyweight, Greco-Roman",2,1,1
ARM,Men's Vault,2,0,2
ARM,Men's Greco-Roman 97kg,2,0,3
ARM,Weightlifting Men's Middleweight,1,0,4
ARM,"Wrestling Men's Featherweight, Greco-Roman",1,0,5
AUS,Hockey Men's Hockey,33,0,1
AUS,Men Team,30,0,2
AUS,Water Polo Women's Water Polo,26,0,3
AUS,Women,25,1,4
AUS,Basketball Women's Basketball,24,0,5
AUT,Sailing Mixed Multihull,2,0,1
AUT,Women -70 kg,2,0,2
AUT,Mixed Dinghy,2,2,3
AUT,Swimming Women's 100 metres Breaststroke,1,0,4
AUT,Judo Men's Extra-Lightweight,1,0,5
AZE,"Wrestling Men's Heavyweight, Freestyle",3,0,1
AZE,"Wrestling Women's Flyweight, Freestyle",3,0,2
AZE,"Wrestling Men's Featherweight, Greco-Roman",2,0,3
AZE,Judo Men's Lightweight,2,1,4
AZE,Judo Men's Half-Heavyweight,2,0,5
BAH,Athletics Men's 4 x 400 metres Relay,15,4,1
BAH,Athletics Women's 400 metres,1,1,2
BAH,Athletics Men's Triple Jump,1,0,3
BAH,Women's 400m,1,1,4
BAH,Men's 400m,1,1,5
BDI,Athletics Women's 800 metres,1,0,1
BEL,Men Team,18,18,1
BEL,Hockey Men's Hockey,16,0,2
BEL,Athletics Women's 4 x 100 metres Relay,4,0,3
BEL,Jumping Team,4,0,4
BEL,Women's Heptathlon,3,2,5
BER,Women's Individual,1,1,1
BLR,Rhythmic Gymnastics Women's Group,12,0,1
BLR,"Canoeing Women's Kayak Fours, 500 metres",8,0,2
BLR,"Canoeing Men's Canadian Doubles, 1,000 metres",4,2,3
BLR,"Canoeing Men's Kayak Fours, 1,000 metres",4,4,4
BLR,Women's Kayak Four 500m Team,4,0,5
BOT,Men's 4 x 400m Relay,6,0,1
BOT,Men's 4 x 400m Relay Team,6,0,2
BOT,Athletics Men's 800 metres,1,0,3
BOT,Men's 200m,1,1,4
BRA,Football Men's Football,52,17,1
BRA,Women,38,2,2
BRA,Volleyball Men's Volleyball,36,12,3
BRA,Volleyball Women's Volleyball,24,24,4
BRA,Men Team,22,22,5
