NOC,Sport,TotalMedals,GoldMedals,rank
AFG,Taekwondo,2,0,1
AIN,Trampoline Gymnastics,2,1,1
AIN,Weightlifting,1,0,2
AIN,Tennis,2,0,3
ALB,Wrestling,2,0,1
ALG,Athletics,4,1,1
ALG,Boxing,1,1,2
ALG,Artistic Gymnastics,1,1,3
ARG,Hockey,83,18,1
ARG,Football,18,18,2
ARG,Sailing,8,2,3
ARM,Wrestling,9,1,1
ARM,Weightlifting,8,0,2
ARM,Boxing,2,0,3
AUS,Swimming,222,70,1
AUS,Sailing,26,14,2
AUS,Rowing,48,13,3
AUT,Sailing,5,3,1
AUT,Cycling Road,1,1,2
AUT,Swimming,1,0,3
AZE,Judo,7,3,1
AZE,Wrestling,26,2,2
AZE,Taekwondo,4,1,3
BAH,Athletics,19,7,1
BDI,Athletics,1,0,1
BEL,Hockey,34,18,1
BEL,Athletics,11,4,2
BEL,Cycling Road,4,2,3
BER,Triathlon,1,1,1
BLR,Canoeing,20,6,1
BLR,Tennis,3,2,2
BLR,Weightlifting,7,1,3
BOT,Athletics,14,1,1
BRA,Football,114,39,1
BRA,Volleyball,85,36,2
BRA,Beach Volleyball,14,4,3
BRN,Athletics,6,2,1
BRN,Wrestling,1,1,2
BRN,Weightlifting,1,0,3
BUL,Rhythmic Gymnastics,11,5,1
BUL,Wrestling,10,2,2
BUL,Rowing,1,1,3
BUR,Athletics,1,0,1
CAN,Football,58,22,1
CAN,Rowing,57,18,2
CAN,Athletics,35,11,3
CHI,Shooting,1,1,1
CHI,Tennis,1,0,2
CHI,Wrestling,1,0,3
CHN,Diving,74,53,1
CHN,Table Tennis,55,42,2
CHN,Weightlifting,36,30,3
CIV,Taekwondo,4,1,1
CMR,Athletics,1,1,1
COL,Cycling,5,2,1
COL,Athletics,4,1,2
COL,Weightlifting,7,1,3
CPV,Boxing,1,0,1
CRO,Water Polo,39,13,1
CRO,Rowing,12,6,2
CRO,Athletics,6,3,3
CUB,Boxing,25,10,1
CUB,Wrestling,14,7,2
CUB,Canoe Sprint,3,2,3
CYP,Sailing,2,0,1
CZE,Tennis,12,4,1
CZE,Shooting,6,3,2
CZE,Athletics,7,2,3
DEN,Handball,60,30,1
DEN,Rowing,21,6,2
DEN,Sailing,10,3,3
DMA,Athletics,1,1,1
DOM,Athletics,9,2,1
DOM,Boxing,3,1,2
DOM,Taekwondo,2,0,3
ECU,Athletics,4,1,1
ECU,Cycling Road,1,1,2
ECU,Weightlifting,4,1,3
EGY,Modern Pentathlon,2,1,1
EGY,Karate,2,1,2
EGY,Fencing,2,0,3
EOR,Boxing,1,0,1
ESP,Football,44,22,1
ESP,Water Polo,38,13,2
ESP,Sailing,13,8,3
EST,Fencing,5,4,1
EST,Athletics,2,1,2
EST,Rowing,6,0,3
ETH,Athletics,30,10,1
FIJ,Rugby Sevens,53,26,1
FIN,Shooting,2,1,1
FIN,Sailing,4,0,2
FIN,Athletics,2,0,3
FRA,Handball,110,62,1
FRA,Judo,57,31,2
FRA,Volleyball,25,25,3
GAB,Taekwondo,1,0,1
GBR,Rowing,126,46,1
GBR,Cycling,58,42,2
GBR,Swimming,52,21,3
GEO,Wrestling,17,4,1
GEO,Judo,11,4,2
GEO,Weightlifting,5,3,3
GER,Hockey,84,33,1
GER,Rowing,56,22,2
GER,Canoeing,48,21,3
GHA,Boxing,1,0,1
GRE,Athletics,5,3,1
GRE,Rowing,9,1,2
GRE,Shooting,2,1,3
GRN,Athletics,5,1,1
GUA,Shooting,2,1,1
GUA,Athletics,1,0,2
HKG,Fencing,3,3,1
HKG,Cycling,1,0,2
HKG,Table Tennis,3,0,3
HUN,Canoeing,30,17,1
HUN,Water Polo,39,13,2
HUN,Swimming,18,8,3
INA,Badminton,11,6,1
INA,Weightlifting,10,1,2
INA,Sport Climbing,1,1,3
IND,Shooting,7,1,1
IND,Athletics,2,1,2
IND,Wrestling,7,0,3
IOA,Shooting,2,1,1
IRI,Wrestling,24,7,1
IRI,Weightlifting,7,3,2
IRI,Taekwondo,7,2,3
IRL,Rowing,12,4,1
IRL,Boxing,10,3,2
IRL,Artistic Gymnastics,1,1,3
ISL,Handball,14,0,1
ISR,Artistic Gymnastics,2,1,1
ISR,Sailing,3,1,2
ISR,Rhythmic Gymnastics,6,1,3
ITA,Fencing,67,16,1
ITA,Volleyball,37,13,2
ITA,Athletics,16,11,3
JAM,Athletics,96,34,1
JOR,Taekwondo,3,1,1
JOR,Karate,1,0,2
JPN,Baseball/Softball,39,39,1
JPN,Wrestling,37,23,2
JPN,Judo,70,20,3
KAZ,Weightlifting,16,6,1
KAZ,Boxing,15,3,2
KAZ,Swimming,1,1,3
KEN,Athletics,60,22,1
KGZ,Wrestling,10,0,1
KGZ,Boxing,1,0,2
KOR,Archery,47,38,1
KOR,Baseball,24,24,2
KOR,Fencing,44,15,3
KOS,Judo,5,3,1
KSA,Equestrianism,4,0,1
KSA,Karate,1,0,2
KUW,Shooting,2,0,1
LAT,3x3 Basketball,4,4,1
LAT,Cycling,2,2,2
LAT,Athletics,1,0,3
LCA,Athletics,2,1,1
LTU,Modern Pentathlon,4,1,1
LTU,Swimming,1,1,2
LTU,Athletics,2,0,3
MAR,Athletics,5,2,1
MAR,Boxing,1,0,2
MAR,Football,19,0,3
MAS,Badminton,12,0,1
MAS,Diving,3,0,2
MAS,Cycling,1,0,3
MDA,Weightlifting,2,0,1
MDA,Boxing,1,0,2
MDA,Canoe Sprint,2,0,3
MEX,Football,38,16,1
MEX,Taekwondo,4,2,2
MEX,Archery,7,0,3
MGL,Judo,8,1,1
MGL,Boxing,5,1,2
MGL,Shooting,1,0,3
MKD,Taekwondo,1,0,1
MNE,Handball,14,0,1
MRI,Boxing,1,0,1
NAM,Athletics,1,0,1
NED,Hockey,118,85,1
NED,Rowing,76,19,2
NED,Water Polo,25,12,3
NGR,Taekwondo,1,0,1
NGR,Football,34,0,2
NGR,Athletics,7,0,3
NIG,Taekwondo,1,0,1
NOR,Handball,72,43,1
NOR,Athletics,8,5,2
NOR,Beach Volleyball,4,2,3
NZL,Rugby Sevens,50,25,1
NZL,Rowing,53,24,2
NZL,Canoe Sprint,11,11,3
PAK,Athletics,1,1,1
PAN,Athletics,1,1,1
PAN,Boxing,1,0,2
PER,Sailing,1,0,1
PHI,Artistic Gymnastics,2,2,1
PHI,Weightlifting,2,1,2
PHI,Boxing,5,0,3
POL,Athletics,31,17,1
POL,Rowing,24,6,2
POL,Gymnastics,1,1,3
POR,Athletics,4,2,1
POR,Cycling Track,3,2,2
POR,Triathlon,1,0,3
PRK,Weightlifting,10,5,1
PRK,Gymnastics,2,2,2
PRK,Judo,4,1,3
PUR,Athletics,3,1,1
PUR,Tennis,1,1,2
PUR,Wrestling,2,0,3
QAT,Athletics,4,1,1
QAT,Weightlifting,1,1,2
QAT,Shooting,1,0,3
ROC,Artistic Swimming,10,10,1
ROC,Fencing,20,9,2
ROC,Artistic Gymnastics,14,8,3
ROU,Rowing,45,15,1
ROU,Fencing,11,4,2
ROU,Gymnastics,14,2,3
RSA,Rowing,6,4,1
RSA,Swimming,10,4,2
RSA,Athletics,11,2,3
RUS,Synchronized Swimming,33,33,1
RUS,Rhythmic Gymnastics,22,20,2
RUS,Athletics,48,17,3
SGP,Swimming,1,1,1
SGP,Table Tennis,7,0,2
SGP,Sailing,1,0,3
SLO,Judo,6,3,1
SLO,Sport Climbing,2,2,2
SLO,Athletics,2,1,3
SMR,Shooting,3,0,1
SMR,Wrestling,1,0,2
SRB,Water Polo,65,39,1
SRB,Taekwondo,5,2,2
SRB,Shooting,6,2,3
SUD,Athletics,1,0,1
SUI,Rowing,6,4,1
SUI,Tennis,8,3,2
SUI,Cycling,7,3,3
SVK,Canoeing,18,6,1
SVK,Shooting,4,1,2
SVK,Athletics,1,1,3
SWE,Equestrian,5,4,1
SWE,Swimming,6,3,2
SWE,Athletics,4,3,3
SYR,Weightlifting,1,0,1
THA,Weightlifting,9,3,1
THA,Taekwondo,6,2,2
THA,Boxing,5,1,3
TJK,Athletics,1,1,1
TJK,Boxing,2,0,2
TJK,Judo,3,0,3
TKM,Weightlifting,1,0,1
TOG,Canoeing,1,0,1
TPE,Badminton,5,4,1
TPE,Weightlifting,8,2,2
TPE,Boxing,4,1,3
TTO,Athletics,17,6,1
TUN,Swimming,4,3,1
TUN,Taekwondo,4,1,2
TUN,Fencing,2,0,3
TUR,Wrestling,13,2,1
TUR,Athletics,4,1,2
TUR,Boxing,6,1,3
UAE,Judo,1,0,1
UGA,Athletics,7,4,1
UKR,Fencing,17,9,1
UKR,Boxing,9,4,2
UKR,Rowing,4,4,3
USA,Swimming,335,169,1
USA,Basketball,120,120,2
USA,Athletics,230,116,3
UZB,Boxing,14,9,1
UZB,Wrestling,9,3,2
UZB,Weightlifting,3,2,3
VEN,Fencing,1,1,1
VEN,Athletics,2,1,2
VEN,Taekwondo,1,0,3
VIE,Shooting,2,1,1
VIE,Weightlifting,1,0,2
ZAM,Athletics,1,0,1
ZIM,Swimming,4,1,1
