Team,Total_Medals
DeRuyter,0
Chad,0
Mohawk Indians-2,12
Russia,1043
Paraguay,17
Elisabeth X,5
Phoenix,0
Souvenance,0
Fortuna,0
Pampero,0
Austria-1,0
United States-10,0
Lalage,5
Hurlingham-2,4
Belgium-2,0
Yemen,0
Amolgavar,0
Briar,0
Chinese Taipei,73
Senegal,1
Sweden,1056
Stella-2,3
Socit Nautique de Bayonne,0
Kerstin-1,3
Crabe II-1,5
Kiribati,0
Gallia II,7
Trickson VI,0
Complex II,4
Guyana,1
Spain-2,4
West Germany-1,2
Eritrea,1
Philippines,18
Starlight III,0
Club Nautique de Franais-1,0
Tichiboo,0
Upton Park FC,11
Cincinnati Archers,8
Djibouti,1
Symphony,2
Akatonbo,0
Malaysia,18
Singapore,10
Crete,0
Nora,0
Italia,6
L'Aile VI,6
Fiji,53
China-1,46
North Korea-1,2
Turkey,108
United States Virgin Islands,1
Tip,3
Calcinhas,0
Panhellenios Gymnastikos Syllogos-1,0
Tango,3
Socit Nautique de Bayonne-1,3
Nikh,0
Espuma del Mar,0
Malawi,0
Beaver,0
Gam II,0
Iraq,1
Switzerland-2,2
Acipactli,0
Germany,1876
Comoros,0
Galerna,0
Tilly,0
Jo,3
Meteor,0
Lerina,6
Mutafo,3
Gran Gesto,0
Rush IV,0
Gwendoline-22,0
Afghanistan,2
Great Britain-3,6
South Africa-2,0
Namoussa,5
Pupilles de Neptune de Lille #2-1,8
Italy-2,0
Cambodia,0
Jordan,4
Maldives,0
Rwanda,0
Romania-2,0
Germany-2,0
Argonaut Rowing Club,6
Sudan,1
Buraddoo,3
Caprice,4
Ylliam VII,0
Gwendoline-2,3
Tom Kyle,0
Palau,0
Snude,0
France,1736
Greece,200
Czechoslovakia-1,2
Taifun,5
Spain-1,2
Norway-1,0
Arcturus,0
Ballerina IV,3
Dormy-1,3
Sweden-2,4
Ylliam VIII,0
Sri Lanka,2
Canada-1,2
Boreas-2,2
Western Rowing Club-3,6
Amstel Amsterdam,4
Bissbi,4
United States-1,32
Ausonia,0
Romania-1,0
Compigne Polo Club,0
Bucintoro Venezia,8
Timor Leste,0
United States-3,2
Dominica,1
British Virgin Islands,0
South Yemen,0
Nina Claire-30,0
Foxhunters Hurlingham,5
Gteborgs Roddfrening-2,0
"R.-V. Germania, Leitmeritz",0
Pierre et Jean-3,0
Kurush IV,0
Algeria,20
Togo,1
Equatorial Guinea,0
Gallant,5
Berliner Ruderverein von 1876-2,9
Argus,0
Chinese Taipei-2,0
Galt Football Club,13
Slovakia,50
Grifo III,0
Romolo,0
North Borneo,0
Sidi Fekkar-36,0
Argentina,328
Xolotl,0
Siames-Cat,0
Belgium,437
Angola,0
"Davenport Turngemeinde, Davenport",0
Great Britain,1895
San Marino,4
Brynhild-2,1
Societ Nautique de la Marne-3,0
New York Athletic Club #1-1,4
Qatar,10
Ecuador,11
Lotta IV,0
Cupidon Viking,0
USFSA,13
Bingo,3
"Turnverein Vorwrts, Cleveland",0
Yeoman XII,0
"\"Lemzos Thorichton \"\"Psara\"\"-3\"",0
Pegaso,0
Clementine V,0
Madagascar,0
Damoiselle,0
Albania,2
Sirene,2
Finland,452
Twins II,0
Eissero VI,0
Santa Maria,6
Jest,2
Studenternes Roklub-2,0
Russia-2,2
Wales-4,11
Nicaragua,0
Ghana,24
Myanmar,0
St. Rose-2,12
Hungaria Evezos Egylet,0
Bera,5
Benin,0
Peru,16
Sierra Leone,0
Umberta V,0
China,1140
United States,5305
India,236
Bahamas,38
Suzy-2,0
Circus,0
Belarus,134
Hera-1,10
Snowten III,0
Kuwait,3
American Samoa,0
Malta,0
Twins VIII,0
Saskia,0
Sweden-3,2
Greece-2,2
Monica,0
Sao Tome and Principe,0
Aldebaran II,0
Aldebaran,0
K Division Metropolitan Police Team-3,8
Vicking,0
Somalia,0
Norna,4
Marshall Islands,0
Ali-Baba VI,0
Chile,34
Tajikistan,7
Puerto Rico,12
Australia-2,0
Gabbiano,0
Crabe I-2,0
rn-2,0
Esterel-1,2
Kurush II,2
Belgium-4,0
Brussels Swimming and Water Polo Club,10
Magda IX,10
Ciocca II,0
Mirtala,0
Erna Signe,10
Peri II,0
Magdalen College Boat Club-1,4
Soviet Union,2061
France-3,4
Cayman Islands,0
Chinese Taipei-1,0
Ormsund Roklub-2,5
Marga-2,0
Ciocca,0
Serbia and Montenegro,64
Brazil-2,6
Ludwigshafener Ruderverein,5
United States-2,18
Primorka,0
Mauritius-2,0
Vesper Boat Club,18
Czechoslovakia,328
Croatia,169
China-2,32
Burundi,2
Polyteknisk Roklub-1,5
Kon-Tiki,0
Nigeria,101
Tornado,5
Bolivia,0
Andorra,0
New York Athletic Club #2-4,0
Gabon,1
GyoshuII,0
Anitra,0
Smyrna,11
Italy,1542
Liverpool Police Team-2,8
Marmara,0
Malaya,0
Tajamar,0
Japan-2,0
Dansk Idrts Forbund,0
India-1,0
Suriname,2
Netherlands Antilles,1
Gteborgs Roddklubb-1,0
The Cloud,0
Linglom,0
"\"Life boat naval ship \"\"Spetsai\"\"-1\"",7
Amateur Athletic Association,5
Covunco III,0
Mosk II,7
Gilliatt V,0
Lithuania,69
Terrible,0
Denmark/Sweden,6
Norway,513
Turkmenistan,1
Evita VI,0
Chuckles,2
Sarcelle-35,0
Vesania,0
United States/France,2
Spain,634
Union des Socits Franais de Sports Athletiques,29
Nausikaa 4,0
Norwegian Rowing Association,0
Cuba,432
Roma,0
May Be VII,0
Venilia,3
Mauritania,0
East Germany-1,2
Norway-2,0
"BLO Polo Club, Rugby",4
Tim-Tam III,0
Sabre,0
Morena,0
Congo (Kinshasa),0
Christian Brothers' College-1,11
Denmark,622
Niger,2
Central African Republic,0
United States-9,0
Uragan,0
United States-7,0
Thessalonki-1,11
Bangladesh,0
Barbados,1
England-1,23
Ali-Baba IV,0
Iran,75
Greece-3,0
Great Britain/Germany,2
Willem-Six,3
Ral-Club Barcelona,0
June Climene,0
Ireland,50
Swift,2
Bohemia,11
Liechtenstein,0
Posillipo III,0
Thailand,38
Laos,0
Bronia,0
London City Police-1,8
Swaziland,0
Slaghoken,3
Devon and Somerset Wanderers,12
Kristiania Roklub-1,5
Bhutan,0
Morocco,44
Monaco,1
Panama,4
Refugee Olympic Athletes,0
Cape Verde,0
Australia-1,4
"New York Turnverein, New York",6
Hong Kong,2
Pan,6
Camelia,0
Italy-1,2
Nykjbings paa Falster,5
Denmark-2,2
Shoveller,0
Nauru,0
Leander Club-1,18
Ancora,4
Fada,0
Russia-1,2
Venezuela,19
Ukraine,233
Nortazo,0
Kingfisher,0
Israel,34
Iceland,17
Firebird II,0
Hungaria,0
United States-6,0
West Germany,502
Ireland-2,12
Bluebottle,3
Faneca,0
Hong Kong-1,0
Gustel V,0
Mystery,0
Wolseley-Siddeley-1,0
Saint Kitts and Nevis,0
Switzerland-1,0
Atlanta,9
Vinha,0
Virginie,0
Fornebo,4
Ukraine-2,0
Libellule de Paris,7
Quand-Mme-2,9
East Germany,841
Oman,0
Argentina-2,0
Malaysia-1,2
Malaysia-2,2
North Korea,63
Poland-1,2
Athens-2,0
Ali-Baba IX,0
Western Golf Association-1,10
Mound City Rowing Club-2,4
South Korea,544
Czechoslovakia-3,0
Wiking,0
Cupidon III,0
Antares,0
Chicago Athletic Association,5
Palestine,0
Cyprus,2
Thames Rowing Club,5
Fantasio III,0
Uruguay,63
"\"Large boat, Central Naval Prep School \"\"Poros\"\"-1\"",17
Yeoman VII,0
Australasia,29
Martha-27,0
Snap,3
Baccara,0
Mexico,142
Cote d'Ivoire,3
Lett,0
Denmark-1,2
Cambridge University Boat Club-2,9
Trans-Mississippi Golf Association-2,10
Heira II,9
Racing Club de France,11
Angelita,12
Aruba,0
Estonia,43
Georgia,47
Club Nautique de Dieppe-5,0
Greece-1,6
Zimbabwe,22
Montenegro,14
South Vietnam,0
Indonesia,36
Partenope,0
Saint Vincent and the Grenadines,0
Oranje,3
Hatuey,0
Tournade-40,0
Mongolia,31
Guatemala,3
Guam,0
Buscape II,0
Royal Club Nautique de Gand,21
Esperia,0
Burevestnik,0
Netherlands-1,2
Cobweb-1,5
Azerbaijan,58
Libya,0
Druzhba,0
Belarus-1,0
"Passaic Turnverein, Passaic",0
Quand-Mme-33,0
Oleander XII,0
Indonesia-1,14
Grenada,5
Netherlands-2,0
Calimucho,0
Gem,2
Federated States of Micronesia,0
Kristiania Roklub,0
Armenia,24
Edelweiss II-1,3
Tunisia,18
Liberia,0
Japan-1,2
Roddklubben af 1912-2,0
Syria,4
Honduras,0
Bylina-2,0
Crabe II-4,5
Trinidad and Tobago,32
Qu'Importe,0
Dinah V,0
Saudi Arabia,7
Congo (Brazzaville),0
"Norwegier Turnverein, Brooklyn",0
United States Golf Association-3,10
Uganda,13
Yugoslavia,383
Chicago Athletic Association-2,11
Jill,0
Girl Pat,0
Crabe I-11,0
Czech Republic-2,0
Namibia,5
Pettit-Poucet-6,0
Toronto Argonauts,18
Leander Club-2,4
Babe,0
Sidi-Fekkar-14,0
Switzerland,430
Martha-1,8
Mistral Hojris,0
Saga-2,0
Zambia,3
Socit Nautique de Bayonne-2,5
St. Louis Southwest Turnverein #1-2,5
Argentina-1,0
Damoiselle IV,0
Canopus,0
Ethiopia,61
Scram,0
Sonja II,0
Jamaica,184
Lucky Girl-1,5
Latvia,23
Breslau,0
Brunei,0
United Arab Emirates,2
Germany-1,10
Whitini Star,0
New York Athletic Club-1,7
Ceres II,0
South Korea-2,16
