NOC,Sport,Event,TotalMedals,GoldMedals,SportEvent,rank
AIN,Trampoline Gymnastics,Men,1,1,Trampoline Gymnastics - Men,1
AIN,Tennis,Women's Doubles,2,0,Tennis - Women's Doubles,2
AIN,Trampoline Gymnastics,Women,1,0,Trampoline Gymnastics - Women,3
ALB,Wrestling,Men's Freestyle 74kg,1,0,Wrestling - Men's Freestyle 74kg,1
ALB,Wrestling,Men's Freestyle 65kg,1,0,Wrestling - Men's Freestyle 65kg,2
ALG,Artistic Gymnastics,Women's Uneven Bars,1,1,Artistic Gymnastics - Women's Uneven Bars,1
ALG,Boxing,Women's 66kg,1,1,Boxing - Women's 66kg,2
ALG,Athletics,"Athletics Men's 1,500 metres",1,0,"Athletics - Athletics Men's 1,500 metres",3
ARG,Hockey,Hockey Men's Hockey,18,18,Hockey - Hockey Men's Hockey,1
ARG,Sailing,Sailing Mixed Multihull,2,2,Sailing - Sailing Mixed Multihull,2
ARG,Judo,Judo Women's Extra-Lightweight,1,1,Judo - Judo Women's Extra-Lightweight,3
ARM,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",1,1,"Wrestling - Wrestling Men's Heavyweight, Greco-Roman",1
ARM,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",1,0,"Wrestling - Wrestling Men's Welterweight, Greco-Roman",2
ARM,Weightlifting,Weightlifting Men's Heavyweight,1,0,Weightlifting - Weightlifting Men's Heavyweight,3
AUS,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,12,12,Rugby Sevens - Rugby Sevens Women's Rugby Sevens,1
AUS,Swimming,Women's 4 x 100m Medley Relay Team,7,7,Swimming - Women's 4 x 100m Medley Relay Team,2
AUS,Swimming,Women's 4 x 100m Freestyle Relay Team,6,6,Swimming - Women's 4 x 100m Freestyle Relay Team,3
AUT,Sailing,Mixed Dinghy,2,2,Sailing - Mixed Dinghy,1
AUT,Sailing,Men's Kite,1,1,Sailing - Men's Kite,2
AUT,Cycling Road,Women's Road Race,1,1,Cycling Road - Women's Road Race,3
AZE,Taekwondo,Taekwondo Men's Heavyweight,1,1,Taekwondo - Taekwondo Men's Heavyweight,1
AZE,Judo,Men -73 kg,1,1,Judo - Men -73 kg,2
AZE,Judo,Men -100 kg,1,1,Judo - Men -100 kg,3
BAH,Athletics,Athletics Women's 400 metres,1,1,Athletics - Athletics Women's 400 metres,1
BAH,Athletics,Men's 400m,1,1,Athletics - Men's 400m,2
BAH,Athletics,Women's 400m,1,1,Athletics - Women's 400m,3
BDI,Athletics,Athletics Women's 800 metres,1,0,Athletics - Athletics Women's 800 metres,1
BEL,Hockey,Men Team,18,18,Hockey - Men Team,1
BEL,Athletics,Women's Heptathlon,3,2,Athletics - Women's Heptathlon,2
BEL,Athletics,Athletics Women's Heptathlon,1,1,Athletics - Athletics Women's Heptathlon,3
BER,Triathlon,Women's Individual,1,1,Triathlon - Women's Individual,1
BLR,Trampolining,Trampolining Men's Individual,1,1,Trampolining - Trampolining Men's Individual,1
BLR,Trampoline Gymnastics,Men,1,1,Trampoline Gymnastics - Men,2
BLR,Swimming,Swimming Women's 50 metres Freestyle,1,0,Swimming - Swimming Women's 50 metres Freestyle,3
BOT,Athletics,Men's 200m,1,1,Athletics - Men's 200m,1
BOT,Athletics,Men's 4 x 400m Relay Team,6,0,Athletics - Men's 4 x 400m Relay Team,2
BOT,Athletics,Men's 4 x 400m Relay,6,0,Athletics - Men's 4 x 400m Relay,3
BRA,Football,Men Team,22,22,Football - Men Team,1
BRA,Football,Football Men's Football,17,17,Football - Football Men's Football,2
BRA,Volleyball,Volleyball Men's Volleyball,12,12,Volleyball - Volleyball Men's Volleyball,3
BRN,Athletics,"Athletics Women's 3,000 metres Steeplechase",1,1,"Athletics - Athletics Women's 3,000 metres Steeplechase",1
BRN,Athletics,Women's 3000m Steeplechase,1,1,Athletics - Women's 3000m Steeplechase,2
BRN,Wrestling,Men's Freestyle 97kg,1,1,Wrestling - Men's Freestyle 97kg,3
BUL,Rhythmic Gymnastics,Group All-Around Team,5,5,Rhythmic Gymnastics - Group All-Around Team,1
BUL,Weightlifting,Men's 89kg,1,1,Weightlifting - Men's 89kg,2
BUL,Wrestling,Men's Greco-Roman 87kg,1,1,Wrestling - Men's Greco-Roman 87kg,3
BUR,Athletics,Men's Triple Jump,1,0,Athletics - Men's Triple Jump,1
CAN,Football,Women Team,22,22,Football - Women Team,1
CAN,Rowing,Women's Eight Team,9,9,Rowing - Women's Eight Team,2
CAN,Athletics,Men's 4 x 100m Relay,6,6,Athletics - Men's 4 x 100m Relay,3
CHI,Shooting,Skeet Women,1,1,Shooting - Skeet Women,1
CHI,Wrestling,Men's Greco-Roman 130kg,1,0,Wrestling - Men's Greco-Roman 130kg,2
CHN,Volleyball,Volleyball Women's Volleyball,12,12,Volleyball - Volleyball Women's Volleyball,1
CHN,Artistic Swimming,Team,17,9,Artistic Swimming - Team,2
CHN,Table Tennis,Women's Team,6,6,Table Tennis - Women's Team,3
CIV,Taekwondo,Taekwondo Men's Welterweight,1,1,Taekwondo - Taekwondo Men's Welterweight,1
