NOC,Sport,Event,TotalMedals,GoldMedals,SportEvent,rank
AFG,Taekwondo,Taekwondo Men's Featherweight,1,0,Taekwondo - Taekwondo Men's Featherweight,1
AFG,Taekwondo,Taekwondo Men's Flyweight,1,0,Taekwondo - Taekwondo Men's Flyweight,2
AIN,Trampoline Gymnastics,Men,1,1,Trampoline Gymnastics - Men,1
AIN,Tennis,Women's Doubles,2,0,Tennis - Women's Doubles,2
AIN,Trampoline Gymnastics,Women,1,0,Trampoline Gymnastics - Women,3
ALB,Wrestling,Men's Freestyle 74kg,1,0,Wrestling - Men's Freestyle 74kg,1
ALB,Wrestling,Men's Freestyle 65kg,1,0,Wrestling - Men's Freestyle 65kg,2
ALG,Athletics,"Athletics Men's 1,500 metres",2,1,"Athletics - Athletics Men's 1,500 metres",1
ALG,Artistic Gymnastics,Women's Uneven Bars,1,1,Artistic Gymnastics - Women's Uneven Bars,2
ALG,Boxing,Women's 66kg,1,1,Boxing - Women's 66kg,3
ARG,Hockey,Hockey Men's Hockey,18,18,Hockey - Hockey Men's Hockey,1
ARG,Football,Football Men's Football,18,18,Football - Football Men's Football,2
ARG,Sailing,Sailing Mixed Multihull,4,2,Sailing - Sailing Mixed Multihull,3
ARM,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",2,1,"Wrestling - Wrestling Men's Heavyweight, Greco-Roman",1
ARM,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",1,0,"Wrestling - Wrestling Men's Welterweight, Greco-Roman",2
ARM,Weightlifting,Weightlifting Men's Middleweight,1,0,Weightlifting - Weightlifting Men's Middleweight,3
AUS,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,12,12,Rugby Sevens - Rugby Sevens Women's Rugby Sevens,1
AUS,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,17,12,Swimming - Swimming Women's 4 x 100 metres Freestyle Relay,2
AUS,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,21,8,Swimming - Swimming Women's 4 x 200 metres Freestyle Relay,3
AUT,Sailing,Mixed Dinghy,2,2,Sailing - Mixed Dinghy,1
AUT,Sailing,Men's Kite,1,1,Sailing - Men's Kite,2
AUT,Cycling Road,Women's Road Race,1,1,Cycling Road - Women's Road Race,3
AZE,Taekwondo,Taekwondo Men's Heavyweight,1,1,Taekwondo - Taekwondo Men's Heavyweight,1
AZE,Judo,Judo Men's Lightweight,2,1,Judo - Judo Men's Lightweight,2
AZE,Wrestling,"Wrestling Men's Lightweight, Freestyle",1,1,"Wrestling - Wrestling Men's Lightweight, Freestyle",3
BAH,Athletics,Athletics Men's 4 x 400 metres Relay,15,4,Athletics - Athletics Men's 4 x 400 metres Relay,1
BAH,Athletics,Athletics Women's 400 metres,1,1,Athletics - Athletics Women's 400 metres,2
BAH,Athletics,Men's 400m,1,1,Athletics - Men's 400m,3
BDI,Athletics,Athletics Women's 800 metres,1,0,Athletics - Athletics Women's 800 metres,1
BEL,Hockey,Men Team,18,18,Hockey - Men Team,1
BEL,Athletics,Women's Heptathlon,3,2,Athletics - Women's Heptathlon,2
BEL,Athletics,Athletics Women's High Jump,1,1,Athletics - Athletics Women's High Jump,3
BER,Triathlon,Women's Individual,1,1,Triathlon - Women's Individual,1
BLR,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",4,4,"Canoeing - Canoeing Men's Kayak Fours, 1,000 metres",1
BLR,Canoeing,"Canoeing Men's Canadian Doubles, 1,000 metres",4,2,"Canoeing - Canoeing Men's Canadian Doubles, 1,000 metres",2
BLR,Tennis,Tennis Mixed Doubles,2,2,Tennis - Tennis Mixed Doubles,3
BOT,Athletics,Men's 200m,1,1,Athletics - Men's 200m,1
BOT,Athletics,Athletics Men's 800 metres,1,0,Athletics - Athletics Men's 800 metres,2
BOT,Athletics,Men's 4 x 400m Relay Team,6,0,Athletics - Men's 4 x 400m Relay Team,3
BRA,Volleyball,Volleyball Women's Volleyball,24,24,Volleyball - Volleyball Women's Volleyball,1
BRA,Football,Men Team,22,22,Football - Men Team,2
BRA,Football,Football Men's Football,52,17,Football - Football Men's Football,3
BRN,Athletics,"Athletics Women's 3,000 metres Steeplechase",1,1,"Athletics - Athletics Women's 3,000 metres Steeplechase",1
BRN,Athletics,Women's 3000m Steeplechase,1,1,Athletics - Women's 3000m Steeplechase,2
BRN,Wrestling,Men's Freestyle 97kg,1,1,Wrestling - Men's Freestyle 97kg,3
BUL,Rhythmic Gymnastics,Group All-Around Team,5,5,Rhythmic Gymnastics - Group All-Around Team,1
BUL,Rowing,Rowing Women's Single Sculls,1,1,Rowing - Rowing Women's Single Sculls,2
BUL,Weightlifting,Men's 89kg,1,1,Weightlifting - Men's 89kg,3
BUR,Athletics,Men's Triple Jump,1,0,Athletics - Men's Triple Jump,1
CAN,Football,Women Team,22,22,Football - Women Team,1
CAN,Rowing,Rowing Men's Coxed Eights,18,9,Rowing - Rowing Men's Coxed Eights,2
CAN,Rowing,Women's Eight Team,9,9,Rowing - Women's Eight Team,3
CHI,Shooting,Skeet Women,1,1,Shooting - Skeet Women,1
CHI,Tennis,Tennis Men's Singles,1,0,Tennis - Tennis Men's Singles,2
CHI,Wrestling,Men's Greco-Roman 130kg,1,0,Wrestling - Men's Greco-Roman 130kg,3
CHN,Volleyball,Volleyball Women's Volleyball,24,12,Volleyball - Volleyball Women's Volleyball,1
CHN,Gymnastics,Gymnastics Men's Team All-Around,16,11,Gymnastics - Gymnastics Men's Team All-Around,2
CHN,Table Tennis,Table Tennis Women's Team,9,9,Table Tennis - Table Tennis Women's Team,3
CIV,Taekwondo,Taekwondo Men's Welterweight,1,1,Taekwondo - Taekwondo Men's Welterweight,1
CIV,Taekwondo,Taekwondo Women's Welterweight,1,0,Taekwondo - Taekwondo Women's Welterweight,2
CIV,Taekwondo,Men +80kg,1,0,Taekwondo - Men +80kg,3
CMR,Athletics,Athletics Women's Triple Jump,1,1,Athletics - Athletics Women's Triple Jump,1
COL,Cycling,Cycling Women's BMX,2,2,Cycling - Cycling Women's BMX,1
COL,Weightlifting,Weightlifting Men's Featherweight,3,1,Weightlifting - Weightlifting Men's Featherweight,2
COL,Athletics,Athletics Women's Triple Jump,2,1,Athletics - Athletics Women's Triple Jump,3
CPV,Boxing,Men's 51kg,1,0,Boxing - Men's 51kg,1
CRO,Water Polo,Water Polo Men's Water Polo,26,13,Water Polo - Water Polo Men's Water Polo,1
CRO,Shooting,Shooting Men's Trap,2,2,Shooting - Shooting Men's Trap,2
CRO,Sailing,Sailing Men's Two Person Dinghy,2,2,Sailing - Sailing Men's Two Person Dinghy,3
CUB,Wrestling,"Wrestling Men's Super-Heavyweight, Greco-Roman",3,3,"Wrestling - Wrestling Men's Super-Heavyweight, Greco-Roman",1
CUB,Canoe Sprint,Men's Canoe Double 1000m Team,2,2,Canoe Sprint - Men's Canoe Double 1000m Team,2
CUB,Wrestling,Men's Greco-Roman 130kg,2,2,Wrestling - Men's Greco-Roman 130kg,3
CYP,Sailing,Sailing Men's One Person Dinghy,1,0,Sailing - Sailing Men's One Person Dinghy,1
CYP,Sailing,Men's Dinghy,1,0,Sailing - Men's Dinghy,2
CZE,Athletics,Athletics Women's Javelin Throw,3,2,Athletics - Athletics Women's Javelin Throw,1
CZE,Tennis,Mixed Doubles,2,2,Tennis - Mixed Doubles,2
CZE,Tennis,Women's Doubles Team,2,2,Tennis - Women's Doubles Team,3
DEN,Handball,Men,16,16,Handball - Men,1
DEN,Handball,Handball Men's Handball,14,14,Handball - Handball Men's Handball,2
DEN,Rowing,Rowing Men's Lightweight Coxless Fours,12,4,Rowing - Rowing Men's Lightweight Coxless Fours,3
DMA,Athletics,Women's Triple Jump,1,1,Athletics - Women's Triple Jump,1
DOM,Boxing,Boxing Men's Light-Welterweight,1,1,Boxing - Boxing Men's Light-Welterweight,1
DOM,Athletics,Athletics Men's 400 metres Hurdles,1,1,Athletics - Athletics Men's 400 metres Hurdles,2
DOM,Athletics,Women's 400m,2,1,Athletics - Women's 400m,3
ECU,Athletics,Men's 20km Race Walk,1,1,Athletics - Men's 20km Race Walk,1
ECU,Cycling Road,Men's Road Race,1,1,Cycling Road - Men's Road Race,2
ECU,Weightlifting,Women's 76kg,1,1,Weightlifting - Women's 76kg,3
EGY,Modern Pentathlon,Men's Individual,2,1,Modern Pentathlon - Men's Individual,1
EGY,Karate,Women's Kumite +61kg,1,1,Karate - Women's Kumite +61kg,2
EGY,Fencing,"Fencing Men's Foil, Individual",1,0,"Fencing - Fencing Men's Foil, Individual",3
EOR,Boxing,Women's 75kg,1,0,Boxing - Women's 75kg,1
ESP,Football,Men,22,22,Football - Men,1
ESP,Water Polo,Women,13,13,Water Polo - Women,2
ESP,Sailing,Sailing Women's Three Person Keelboat,3,3,Sailing - Sailing Women's Three Person Keelboat,3
EST,Fencing,Women's Épée Team,4,4,Fencing - Women's Épée Team,1
EST,Athletics,Athletics Men's Discus Throw,2,1,Athletics - Athletics Men's Discus Throw,2
EST,Rowing,Rowing Men's Quadruple Sculls,4,0,Rowing - Rowing Men's Quadruple Sculls,3
ETH,Athletics,"Athletics Women's 10,000 metres",4,3,"Athletics - Athletics Women's 10,000 metres",1
ETH,Athletics,"Athletics Women's 5,000 metres",5,2,"Athletics - Athletics Women's 5,000 metres",2
ETH,Athletics,"Athletics Men's 5,000 metres",3,1,"Athletics - Athletics Men's 5,000 metres",3
FIJ,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,13,13,Rugby Sevens - Rugby Sevens Men's Rugby Sevens,1
FIJ,Rugby Sevens,Men Team,13,13,Rugby Sevens - Men Team,2
FIJ,Rugby Sevens,Men,14,0,Rugby Sevens - Men,3
FIN,Shooting,Shooting Women's Trap,1,1,Shooting - Shooting Women's Trap,1
FIN,Shooting,"Shooting Men's Air Rifle, 10 metres",1,0,"Shooting - Shooting Men's Air Rifle, 10 metres",2
FIN,Sailing,Sailing Women's Three Person Keelboat,3,0,Sailing - Sailing Women's Three Person Keelboat,3
FRA,Handball,Handball Men's Handball,45,30,Handball - Handball Men's Handball,1
FRA,Judo,Mixed Team,25,25,Judo - Mixed Team,2
FRA,Handball,Men Team,16,16,Handball - Men Team,3
GAB,Taekwondo,Taekwondo Men's Heavyweight,1,0,Taekwondo - Taekwondo Men's Heavyweight,1
GBR,Hockey,Hockey Women's Hockey,32,16,Hockey - Hockey Women's Hockey,1
GBR,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",12,12,"Cycling - Cycling Men's Team Pursuit, 4,000 metres",2
GBR,Rowing,Rowing Men's Coxless Fours,12,12,Rowing - Rowing Men's Coxless Fours,3
GEO,Judo,Men -90 kg,2,2,Judo - Men -90 kg,1
GEO,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",2,1,"Wrestling - Wrestling Men's Light-Heavyweight, Freestyle",2
