NOC,Total_Medals
POL,602
JAM,184
BUR,1
BRA,597
ARM,24
MOZ,2
CUB,434
JOR,4
FRA,1955
ALG,20
SOM,0
IVB,0
BRN,8
MAL,0
COD,0
FSM,0
MYA,0
NEP,0
BOL,0
GEQ,0
VIE,4
BOT,14
RSA,155
ETH,61
BHU,0
ITA,1604
UKR,233
CMR,22
GHA,24
SCG,64
AHO,1
SEN,1
COM,0
GUY,1
LCA,2
TOG,1
QAT,10
GUA,3
GBR,2282
TCH,330
CAM,0
FIJ,53
TJK,7
VAN,0
ERI,1
UGA,13
ZIM,22
AZE,58
AUS,1556
MLI,0
PUR,12
MLT,0
MEX,145
PAR,17
SRI,2
AFG,2
DMA,1
PNG,0
GDR,843
SLO,38
SUD,1
YEM,0
SEY,0
BLR,134
NIG,2
SVK,50
STP,0
HUN,1204
TKM,1
NZL,343
MRI,1
DJI,1
THA,38
NOR,636
IRQ,1
VEN,19
BRU,0
LIB,4
YMD,0
TLS,0
FIN,476
POR,50
DEN,666
DOM,42
UAR,2
ALB,2
BAN,0
LBA,0
SUR,2
BIZ,0
URU,63
ANG,0
BAH,42
BIH,0
CAY,0
NBO,0
NED,1108
CRT,0
AND,0
PER,16
CAF,0
PAK,122
EUN,220
LUX,6
TUR,119
IOA,5
PLE,0
ROT,0
RWA,0
SLE,0
MNE,14
AUT,183
CPV,1
BDI,2
USA,5621
MAR,44
GEO,47
PAN,4
VNM,0
MON,1
CIV,5
ARU,0
LBR,0
KOR,648
PRK,73
RHO,0
LIE,0
MTN,0
GER,1968
ISR,34
SAA,0
TUN,18
NAM,5
SMR,4
SKN,0
LTU,69
CYP,2
YUG,383
UAE,2
CRC,4
MHL,0
YAR,0
BOH,12
MAS,22
CAN,883
RUS,905
SUI,441
COL,37
ROU,681
NGR,101
PHI,18
KIR,0
ARG,336
KSA,7
CGO,0
TPE,73
ISV,1
MAW,0
SWZ,0
TTO,32
CRO,169
OMA,0
ESP,640
BAR,1
KEN,127
TAN,2
MDV,0
MGL,31
EST,48
ASA,0
VIN,0
IRL,50
ESA,0
SWE,1158
MAD,0
ANT,0
GAB,1
URS,2063
FRG,504
BER,2
GUM,0
NRU,0
BUL,353
ECU,11
SYR,4
COK,0
NCA,0
KUW,3
SGP,10
KAZ,86
IND,236
IRI,87
GAM,0
HKG,16
HON,0
GRN,5
CHA,0
BEL,491
GBS,0
ZAM,3
MKD,2
CHN,1218
SOL,0
ANZ,29
MDA,13
WIF,5
UZB,51
HAI,7
SAM,0
GRE,281
CHI,34
JPN,1063
LAT,25
SRB,149
INA,50
KGZ,12
PLW,0
LAO,0
GUI,0
CZE,93
EGY,36
BEN,0
ISL,17
TGA,1
LES,0
KOS,5
TUV,0
UNK,0
SSD,0
NFL,0
AIN,6
EOR,1
LBN,0
ROC,149
